# xi,F,p,r,T
1.000000000000000048e-04,1.869283766854407337e+35,6.873204672000424580e+03,8.865042987774816513e+09,8.051640639687750489e+06
1.001843934381650648e-04,1.872722001874070369e+35,6.873204237694306357e+03,8.870492016287128448e+09,8.051640639681282453e+06
1.003691268857305203e-04,1.876153934946946173e+35,6.873203802854493915e+03,8.875944403529539108e+09,8.051640639674782753e+06
1.005542009696513885e-04,1.879579546414885245e+35,6.873203367480949964e+03,8.881400135826412201e+09,8.051640639668250456e+06
1.007396163180386360e-04,1.882998857222515973e+35,6.873202931572930538e+03,8.886859217992229462e+09,8.051640639661686495e+06
1.009253735601617808e-04,1.886411851549575278e+35,6.873202495130036368e+03,8.892321644053405762e+09,8.051640639655090868e+06
1.011114733264503014e-04,1.889818557320535151e+35,6.873202058151453457e+03,8.897787420889719009e+09,8.051640639648461714e+06
1.012979162484962936e-04,1.893218999016816378e+35,6.873201620636404186e+03,8.903256554297119141e+09,8.051640639641801827e+06
1.014847029590564763e-04,1.896613192655471903e+35,6.873201182584188246e+03,8.908729047638223648e+09,8.051640639635108411e+06
1.016718340920542914e-04,1.900001137884506491e+35,6.873200743994251752e+03,8.914204899602811813e+09,8.051640639628382400e+06
1.018593102825821137e-04,1.903382846430024297e+35,6.873200304865934413e+03,8.919684112266601562e+09,8.051640639621623792e+06
1.020471321669034055e-04,1.906758330787683366e+35,6.873199865198569569e+03,8.925166687901760101e+09,8.051640639614832588e+06
1.022353003824547085e-04,1.910127601230350035e+35,6.873199424991500564e+03,8.930652628343481064e+09,8.051640639608007856e+06
1.024238155678483005e-04,1.913490668992267058e+35,6.873198984244064377e+03,8.936141935624944687e+09,8.051640639601150528e+06
1.026126783628737130e-04,1.916847546419281677e+35,6.873198542955592529e+03,8.941634612007497787e+09,8.051640639594260603e+06
1.028018894085002793e-04,1.920198244079874836e+35,6.873198101125422909e+03,8.947130659399646759e+09,8.051640639587336220e+06
1.029914493468792622e-04,1.923542774815116174e+35,6.873197658752882489e+03,8.952630080174215317e+09,8.051640639580379240e+06
1.031813588213460086e-04,1.926881148167509352e+35,6.873197215837313706e+03,8.958132876044841766e+09,8.051640639573388733e+06
1.033716184764221319e-04,1.930213376985493852e+35,6.873196772378040805e+03,8.963639049397603989e+09,8.051640639566364698e+06
1.035622289578176934e-04,1.933539471884654750e+35,6.873196328374398945e+03,8.969148602167465210e+09,8.051640639559306204e+06
1.037531909124332901e-04,1.936859444200869717e+35,6.873195883825719648e+03,8.974661536444103241e+09,8.051640639552214183e+06
1.039445049883626967e-04,1.940173305451794702e+35,6.873195438731329887e+03,8.980177854361772537e+09,8.051640639545088634e+06
1.041361718348943975e-04,1.943481066932226847e+35,6.873194993090558455e+03,8.985697558016588211e+09,8.051640639537928626e+06
1.043281921025142426e-04,1.946782739705766562e+35,6.873194546902735965e+03,8.991220649465114594e+09,8.051640639530734159e+06
1.045205664429075349e-04,1.950078334596341246e+35,6.873194100167190300e+03,8.996747130722902298e+09,8.051640639523506165e+06
1.047132955089612123e-04,1.953367862557693937e+35,6.873193652883249342e+03,9.002277003834335327e+09,8.051640639516242780e+06
1.049063799547661377e-04,1.956651335819294319e+35,6.873193205050233701e+03,9.007810271088968277e+09,8.051640639508944936e+06
1.050998204356192540e-04,1.959928765561490771e+35,6.873192756667467620e+03,9.013346934583076477e+09,8.051640639501612633e+06
1.052936176080256986e-04,1.963200162688995255e+35,6.873192307734277165e+03,9.018886996365716934e+09,8.051640639494245872e+06
1.054877721297015135e-04,1.966465537960966437e+35,6.873191858249987490e+03,9.024430458463441849e+09,8.051640639486843720e+06
1.056822846595752174e-04,1.969724901984185867e+35,6.873191408213921932e+03,9.029977322879133224e+09,8.051640639479406178e+06
1.058771558577903946e-04,1.972978265206152994e+35,6.873190957625407464e+03,9.035527591590867996e+09,8.051640639471934177e+06
1.060723863857079716e-04,1.976225638749674899e+35,6.873190506483763784e+03,9.041081266710187912e+09,8.051640639464425854e+06
1.062679769059083175e-04,1.979467034621208246e+35,6.873190054788305133e+03,9.046638350521728516e+09,8.051640639456883073e+06
1.064639280821935892e-04,1.982702463828850144e+35,6.873189602538350300e+03,9.052198845126825333e+09,8.051640639449303970e+06
1.066602405795898177e-04,1.985931937321688781e+35,6.873189149733218073e+03,9.057762752621635437e+09,8.051640639441689476e+06
1.068569150643496599e-04,1.989155465999110175e+35,6.873188696372225422e+03,9.063330075099067688e+09,8.051640639434038661e+06
1.070539522039539571e-04,1.992373060705780291e+35,6.873188242454690226e+03,9.068900814647993088e+09,8.051640639426352456e+06
1.072513526671144178e-04,1.995584732239142170e+35,6.873187787979928544e+03,9.074474973354373932e+09,8.051640639418630861e+06
1.074491171237758547e-04,1.998790491697691926e+35,6.873187332947254617e+03,9.080052553354957581e+09,8.051640639410872012e+06
1.076472462451183931e-04,2.001990350087943938e+35,6.873186877355980869e+03,9.085633556776655197e+09,8.051640639403077774e+06
1.078457407035597886e-04,2.005184318254813939e+35,6.873186421205421539e+03,9.091217985725774765e+09,8.051640639395246282e+06
1.080446011727576771e-04,2.008372406997474906e+35,6.873185964494889049e+03,9.096805842305879593e+09,8.051640639387378469e+06
1.082438283276117562e-04,2.011554627064461285e+35,6.873185507223694913e+03,9.102397128616985321e+09,8.051640639379473403e+06
1.084434228442665370e-04,2.014730989148702399e+35,6.873185049391149732e+03,9.107991846754789352e+09,8.051640639371532016e+06
1.086433854001129563e-04,2.017901503716200517e+35,6.873184590996565930e+03,9.113589998783618927e+09,8.051640639363554306e+06
